"Oxylipin";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"TXB3";2,25942604192264;0,540604153380203;3,17840406780266;0,00703992088997073;0,0422395253398244;-2,28982790785338
"12-HHTrE";1,86987714886396;-1,33600896985015;2,02905630336568;0,0628409901012121;0,188522970303636;-4,22998081096038
"PGE2";1,60517442611057;-0,656384912065519;1,35751068067308;0,197081499159748;0,394162998319496;-5,16340675730918
"20-carboxy-LTB4";0,143251271812225;-1,50381429498137;0,294313198440027;0,773036313429974;0,962056985974841;-5,99209258026187
"9-HETE";0,100867064555952;-0,770114756214442;0,218699716936322;0,830185532045648;0,962056985974841;-6,0116656572774
"10-HOA";0,0223002244315174;-3,36449030732878;0,0484712174765014;0,962056985974841;0,962056985974841;-6,03469031462174
